store_name,Overall_Rating,name,Rating,text,publishedAtDate
Shell 209 High St West Drayton UB7 7QP,3.2,Christopher Powell-Taylor,1,"NOT 24 hours.  Rudely turned away over the intercom at just past midnight.

DO NOT BELIEVE THEIR LIES",2015-04-01T17:49:26.924Z
Shell 106 Old Brompton Rd South Kensington London SW7 3RA,3.4,Loco Rocco,4,"Great service, no toilet",2015-04-16T12:02:37.736Z
Shell 78 The Ridgeway Enfield EN2 8JF,4.2,David Medcalf,5,Welcome to Lavender Hill Garage.,2015-04-25T21:15:13.924Z
Shell 78 The Ridgeway Enfield EN2 8JF,4.2,James Pryor,5,Prompt. courteous and professional service.  Well recommended.  I will certainly use again.  Thank You,2015-04-26T20:05:35.004Z
Shell 262 York Rd London SW18 1TP,3.5,Gareth Llewellyn,5,What a forecourt.,2015-06-22T12:32:43.310Z
Shell 262 York Rd London SW18 1TP,3.5,Grzegorz Rzymski,1,Jet wash with no foam and and terrible assistant Kooklan - who will tell you he can't even check what's going on and doesn't care what you say. Stay away if stupid arguments are not your idea of fun.,2015-07-08T08:15:05.600Z
Shell 262 York Rd London SW18 1TP,3.5,Oliver van Bilsen,5,"Clean forecourt, decent shop and friendly staff.",2015-07-11T05:26:25.164Z
Shell 49 Tadema Rd London SW10 0NY,4.3,Dimitar Radev,5,Perfect costumer service,2015-07-13T06:23:04.623Z
Shell 297-309 297-309 Southwark Park Rd. London SE16 2JN,3,Dimitar Radev,5,Very helpfull,2015-07-27T06:34:16.264Z
Shell Grosvenor Rd Pimlico London SW1V 3JY,2.8,Roland Wooster,3,"Surprisingly small fuel station built in what appears to be the front driveway of a stately home. Although there are 4 pumps, everyone has to enter and leave in the order they arrived, so it's a little awkward.",2015-07-31T08:24:40.733Z
Shell London Rd Virginia Water GU25 4QF,3.1,Aivaras Grigonis,2,"Automatic car wash is horrible. Went for most expensive option (£9.99). After the wash, when it got dried, white stains were all over the car, especially the front. Allow wheels were still dirty.",2015-08-03T22:26:45.569Z
Shell 276 Upper St London N1 2TZ,3.7,Kai Spellman,5,Now my car works,2015-08-10T16:13:02.894Z
Shell 276 Upper St London N1 2TZ,3.7,Brandon Fur,4,my station of choice. (as its the closest) Although there has been times were iv had to go elsewhere because of shortage,2015-08-12T12:52:53.392Z
Shell 290 Willesden Ln London NW2 5HS,3.6,Mal B,1,may have left debit card there. Called but were very unhelpful,2015-09-24T15:35:21.440Z
Shell 421 Edgware Rd London NW9 0HS,4,Andrei Boroş,5,Great quality fuel and great staff.,2015-10-13T20:34:24.038Z
Shell 75 Balham Hill London SW12 9DP,3.2,Joe Nixon,1,Car wash broken,2015-10-18T16:06:19.152Z
Shell Grosvenor Rd Pimlico London SW1V 3JY,2.8,Roc Mir,1,No toilet for customers,2015-10-20T11:02:11.826Z
Shell 300 W End Rd Ruislip HA4 6QQ,3.6,Dominik B,4,"One of my favourites, never too busy and easy to use.",2015-10-25T23:42:05.638Z
Shell 276 Upper St London N1 2TZ,3.7,VGOK,3,is there a air pump at this station????,2015-11-02T17:33:56.833Z
Shell 209 High St West Drayton UB7 7QP,3.2,andy gowrley,3,"Does as it says on the tin, supplies petrol/diesel and has the usual shop which you wander through and think I have seen that cheaper elsewhere.",2015-11-15T11:43:28.617Z
Shell 262 Martin Way London SW20 9BZ,4.1,Eoin GIBSON,4,"Good value Petrol and Diesel, not so great value shop.",2015-11-16T12:19:22.160Z
Shell 276 Upper St London N1 2TZ,3.7,Stuart Haigh,4,Very nice petrol and sandwiches,2015-11-16T13:12:09.172Z
Shell Elstree Way Borehamwood WD6 1LB,3.4,Jake Sugar,4,Convenient,2015-11-16T15:04:33.600Z
Shell 123-127 Portland Rd London SE25 4UX,3.6,lee hammond,3,It sells petrol,2015-11-19T10:50:32.563Z
Shell 198-208 Old St London EC1V 9BP,3.5,KRASTEV ILIYAN,5,Excellent customer service...!!! The staff is always very polite with customers...!!! Thank You,2015-11-19T11:06:50.721Z
Shell 75 Balham Hill London SW12 9DP,3.2,Angus TP,4,Friendly staff,2015-11-21T00:50:00.760Z
Shell 421 Edgware Rd London NW9 0HS,4,Red Farrell,1,"Always closing in the middle of the day.

Was told the cashier couldn't serve me because the till was down, a guy then came in behind me and was served.

When I went to re enter the shell to ask why, I was locked out !

Religious.",2015-11-27T11:22:01.740Z
Shell 103-105 Pinner Rd Harrow HA1 4YW,3.1,Tomasz Wilczek,3,Friendly staff.,2015-11-27T18:37:34.898Z
Shell 369 A406 Neasden London NW10 0LH,3.7,Artur Ferreira,2,"Very small and expensive. Go to Tesco Fuel, which is not far.",2015-12-02T22:17:44.583Z
Shell 123-127 Portland Rd London SE25 4UX,3.6,Tony Brown,3,"Didn't stop as no LPG, second station in the area that Google says does LPG but does not. Come on Google get it right ffs.",2015-12-03T10:50:23.144Z
Shell Ebury St London SW1W 9QJ,2.8,Jaffa Al Bobfluff,3,Its just a petrol station.,2015-12-07T08:36:36.486Z
Shell 75 Balham Hill London SW12 9DP,3.2,Tristan Corpe,3,Fuel? Check! Snacks? Check! Job done.,2015-12-08T09:05:00.998Z
Shell 609 Kenton Rd Harrow HA3 9RW,3,Karol Swirepo,5,Friendly staff,2015-12-09T01:19:49.276Z
Shell 403-405 Twickenham Rd Isleworth TW7 7ES,3.8,Syed Hasan,1,Rude unhelpful staff,2015-12-14T11:48:18.072Z
Shell 445-453 Wick Ln Bow London E3 2TB,3.3,Saif Udz,4,May not be the cheapest but they have better fuel than others,2015-12-14T16:05:07.329Z
Shell 209 High St West Drayton UB7 7QP,3.2,P Bulak,3,Not overly competitive,2015-12-17T08:30:19.658Z
Shell Empire Way Wembley Park Wembley HA9 0EW,3.4,Karol Swirepo,5,Quick and nice service,2015-12-26T13:18:44.287Z
Shell 326 Queenstown Rd Nine Elms London SW8 4NE,2.7,Marcos P. Prieto,5,Love this place,2015-12-27T21:01:18.411Z
Shell 529 Yeading Ln Northolt UB5 6LW,3.4,G Sondhi,3,Not much in store,2015-12-29T22:59:55.459Z
Shell Staines Rd Twickenham TW2 5JA,2.9,G Sondhi,3,The pumps are fast here,2015-12-30T00:22:35.819Z
Shell 421 Edgware Rd London NW9 0HS,4,Stephen Eagle Ellis,3,Small but well kept station.  You may find it hard to get in and out quick if you are in a hurry.  Take all cards and paypal.,2015-12-30T07:47:49.550Z
Shell 403-405 Twickenham Rd Isleworth TW7 7ES,3.8,MOD,4,Good friendly staff,2015-12-30T09:56:43.464Z
Shell 104-116 Holloway Rd London N7 8JE,3.7,Anil Gunesh,4,Large space for cars and sells a wide variety of snacks.,2016-01-02T03:40:29.183Z
Shell 103-105 Pinner Rd Harrow HA1 4YW,3.1,Olivian Ortopan,3,I always seem to find them either under-staffed or not stocked with basic products that you'd expect in the shop of a petrol station. Luckily enough they are the only Shell in the area (if you're a Shell fuel fan)... but sometimes I wonder if it's worth waiting 5 minutes every single time to pay for fuel...,2016-01-09T00:09:29.986Z
Shell 609 Kenton Rd Harrow HA3 9RW,3,Madhvi Soni,3,cheap,2016-01-11T08:50:28.053Z
Shell A402 104-105 Bayswater Rd London W2 3HJ,2.7,Rezaul Karim,1,They always closed,2016-01-15T22:57:01.346Z
Shell 198-208 Old St London EC1V 9BP,3.5,A. B.,1,All service stations should be demolished in inner London. This is also the case...,2016-01-16T11:22:22.886Z
Shell Grosvenor Rd Pimlico London SW1V 3JY,2.8,Grazvydas Juzelskis,5,Always the best price in the area,2016-01-17T22:44:47.559Z
Shell 326 Queenstown Rd Nine Elms London SW8 4NE,2.7,Joshua Lee,3,The pay at pump devices have not been working here for a few months at the time of posting - I'm surprised there's not been more of an effort to get this fixed,2016-01-19T13:27:09.860Z
Shell 53 Sewardstone Rd London E4 7TA,3.4,Ben Gallagher,4,Cheap fuel prices,2016-01-28T17:11:46.398Z
Shell Ebury St London SW1W 9QJ,2.8,Paulo Massarde,5,"Toilet, petrol, coffee... All I need ;)",2016-01-29T16:34:37.926Z
Shell 231 Western Rd London SW19 2FG,4.1,Ajen Kandy,3,bit of a tight squeeze to get in and out especially during traffic time.,2016-02-03T11:49:30.018Z
Shell 262 Martin Way London SW20 9BZ,4.1,Ajen Kandy,3,"cramped garage with space for 4 cars or so, staff friendly",2016-02-08T14:08:16.301Z
Shell 276 Upper St London N1 2TZ,3.7,Dimitar Radev,5,Not the chepaest fuel but for islington area is fine. Very good service and there is a WC.,2016-02-14T17:15:44.561Z
Shell 104-116 Holloway Rd London N7 8JE,3.7,Dimitar Radev,5,Nice and perfect,2016-02-14T17:16:30.727Z
Shell 529 Yeading Ln Northolt UB5 6LW,3.4,Richard Major,4,Friendly staff. Little bit of chat.,2016-02-17T20:41:58.159Z
Shell 421 Edgware Rd London NW9 0HS,4,M Henry,3,Over priced food and drinks - limited deals,2016-02-19T19:25:55.255Z
Shell 148-150 Green Lanes London N13 5UN,4.2,Nelson Okpara,3,"148-150 Green Lanes, London N13 5UN",2016-02-19T20:25:56.421Z
Shell 165 Shooters Hill Rd London SE3 8UQ,4,Din Arj,3,"Bit pricey than Tesco, Sainsbury's...",2016-02-19T23:28:53.834Z
Shell Elstree Way Borehamwood WD6 1LB,3.4,Andy Savvides,4,Nice new kiosk.. Good selection of snacks,2016-02-21T16:57:28.391Z
Shell 445-453 Wick Ln Bow London E3 2TB,3.3,Younus Islam,5,get petrol for you car.,2016-02-22T17:38:29.613Z
Shell London Rd Virginia Water GU25 4QF,3.1,Joshua Sheppard,5,Best fuel,2016-02-23T09:50:17.182Z
Shell 109-113 York Wy London N7 9QE,3.8,Steve usw,4,Has a cleaning area with high pressure water that's not expensive,2016-02-23T10:58:59.110Z
Shell 139-149 Whitechapel Rd London E1 1DT,3.3,E H,5,"Good petrol station, reasonable prices.  Staff are very friendly.",2016-02-23T14:24:14.725Z
Shell 11 Colney Hatch Ln Muswell Hill London N10 1QB,3.3,Xiaonan Yang,5,All things you need from a petrol station.,2016-02-23T18:45:42.905Z
Shell 369 A406 Neasden London NW10 0LH,3.7,Octavian Toduti,2,If put the post code on Google maps. ...it's completely wrong .... check 369 north circular road  (normal it's shell adress...on Google search ) you go on ...wood Green. ..??? Or check NW10 0SH it's near 404,2016-02-23T21:05:04.574Z
Shell Ebury St London SW1W 9QJ,2.8,Juan Serra de la Fuente,3,I don't know is just a petrol station. They sell gas and some other overpriced stuff.,2016-02-24T18:44:39.571Z
Shell 369 A406 Neasden London NW10 0LH,3.7,Vineet Chopra,4,"Convenient location, efficient service.",2016-02-26T07:26:05.990Z
Shell 222-224 Fulham Palace Rd London W6 9NT,2.9,Lukasz L,1,The guy refused to serve me coffee 5am saying he's busy - doing nothing!!! I'll never use this place ag,2016-03-03T05:27:15.086Z
Shell 237-239 Roehampton Ln London SW15 4JZ,3.2,Florin V Jiboc,3,£30 fuel and get a free coffe or tea  (only with waitrose card),2016-03-03T10:10:37.628Z
Shell 209 High St West Drayton UB7 7QP,3.2,Adam Blanch,1,I just got turned away because I only wanted a drink.and he said he wos closed .but it 24hr .just lies.12.02am,2016-03-04T00:54:35.102Z
Shell Ebury St London SW1W 9QJ,2.8,Taser Ozalkan,5,Always love shell's service one of the best petrol stations out there!,2016-03-04T08:46:35.614Z
Shell 470 Larkshall Rd London E4 9HH,4.3,A,5,"Raj, what a legend. He's been there for over 10 years.",2016-03-05T12:09:08.166Z
Shell 276 Upper St London N1 2TZ,3.7,E H,5,Normally decent prices for London and the staff are very amiable.,2016-03-05T15:23:40.403Z
Shell 123-127 Portland Rd London SE25 4UX,3.6,Osman Carim,4,"Very rarely a long queue to fill up or pay. Like with most filling stations, don't bank on the jet wash working. After a lot of visits, the jet wash has only been in operation a handful of times.",2016-03-06T09:57:55.454Z
Shell 104-116 Holloway Rd London N7 8JE,3.7,MOMINNZ - TECHVLOG,5,Best n top customer services. Plus shell fuels r top,2016-03-06T12:35:24.852Z
Shell 421 Edgware Rd London NW9 0HS,4,Carla Moreno,4,Nice and comvenient. Usually not croweded.,2016-03-07T06:09:34.789Z
Shell 165 Shooters Hill Rd London SE3 8UQ,4,Emanuel L Ferreira,4,24/7. Always open,2016-03-08T04:38:51.309Z
Shell N Orbital Rd Denham Uxbridge UB9 5EY,3.4,Paul Boakes,4,"Always a good place to stop for a coffee and a cake; this is never a busy service station, so no queues for anything, and plenty of room for parking.",2016-03-09T08:07:30.907Z
Shell 106 Old Brompton Rd South Kensington London SW7 3RA,3.4,Dimitar Radev,5,Allways quality fuels.,2016-03-10T12:52:17.369Z
Shell Empire Way Wembley Park Wembley HA9 0EW,3.4,Naqibullah Stanikzai,5,Well and really fast services,2016-03-11T01:11:20.116Z
Shell 101-103 Southwark Bridge Rd London SE1 1ES,3.6,CMDV Carlitos,5,Best fuel in london cleaner and efficient,2016-03-13T11:51:57.591Z
Shell B466 55 High Rd Ickenham Uxbridge UB10 8LF,3,Anup Nair,5,Very conveniently located on Ickenham High Road. Friendly staff and nice convenience store. I miss it!,2016-03-14T03:57:20.550Z
Shell 198-208 Old St London EC1V 9BP,3.5,Yugo Kanazawa,5,Gxx,2016-03-14T12:19:07.306Z
Shell Chertsey Rd Addlestone KT15 2ED,3.5,Andi Taylor,4,Sells fuel. Handy.,2016-03-17T16:51:21.042Z
Shell A402 104-105 Bayswater Rd London W2 3HJ,2.7,Kirsten Rossouw,4,Great convenience store,2016-03-18T18:03:42.335Z
Shell 223 Harrow Rd London W2 5EH,3.7,Vilma Gomes Cardoso,5,Very near,2016-03-20T11:31:00.813Z
Shell 154 Watford Rd Wembley HA0 3HB,3.5,Olivian Ortopan,4,"They recently took over from Esso, at the time when I am writing this review,  and the cool part is they are about 1p cheaper than the other 2 nearby Shells: which is cool when you fill up the gas guzzler. However, watch out as there are often queues and the exit is quite tight, so be careful not to bump your wheels.",2016-03-20T13:48:46.141Z
Shell 326 Queenstown Rd Nine Elms London SW8 4NE,2.7,Gregory Carter,4,Quick and efficient,2016-03-20T17:19:34.854Z
Shell 276 Upper St London N1 2TZ,3.7,Adam Fitzgerald,2,Didn't clearly have a pump wasn't working til I'd pulled up. Had to pull out and back in again.,2016-03-20T19:46:34.628Z
Shell 276 Upper St London N1 2TZ,3.7,Raymomd Tendler,5,Always helpful,2016-03-21T09:27:43.917Z
Shell 148-150 Green Lanes London N13 5UN,4.2,Tony Brandy,4,GOOD PRICE,2016-03-22T11:22:48.496Z
Shell 222-224 Fulham Palace Rd London W6 9NT,2.9,Bish Jaishi,5,Not much queues. Good service,2016-03-25T08:47:00.694Z
Shell 276 Upper St London N1 2TZ,3.7,robert bowers,5,Great service,2016-03-25T18:00:38.013Z
Shell 165 Shooters Hill Rd London SE3 8UQ,4,Alex Clifford,2,Long queues to get in and out and dirty toilets,2016-03-27T21:53:38.243Z
Shell 262 Martin Way London SW20 9BZ,4.1,Madularu Ionela,5,Da.  Și the to,2016-03-28T08:19:28.394Z
Shell Empire Way Wembley Park Wembley HA9 0EW,3.4,Vipin Maru,3,"I love Shell, but the forecourt looks dated and so does the kiosk. Positive is that it's price is generally competitive, especially for the location it is in.",2016-03-28T22:28:37.903Z
Shell 128-136 Beckenham Rd Beckenham BR3 4RH,3.8,Ian Synge,4,"It's a petrol station - it generally has petrol, at generally reasonable prices. Staff are friendly which differentiates, location is convenient, and there's plenty of space around the pumps.",2016-03-30T17:16:55.214Z
Shell 165 Shooters Hill Rd London SE3 8UQ,4,Larry Osei-Kwaku,3,No toilet facilities at the time of my visit.,2016-03-31T18:57:57.743Z
Shell 198-208 Old St London EC1V 9BP,3.5,Marc “Mr Omneo” Knox,3,I only visit to either buy the occasional lottery ticket or to make use of the free to use ATM,2016-04-01T13:56:06.919Z
Shell 222-224 Fulham Palace Rd London W6 9NT,2.9,خاکوو هۆرامانی horamland,1,No coffe no cake payment outsid,2016-04-03T00:45:34.310Z
Shell 326 Queenstown Rd Nine Elms London SW8 4NE,2.7,Jonathan Dempsey,3,"It's a petrol station, expect nothing special",2016-04-03T15:37:23.237Z
Shell 369 A406 Neasden London NW10 0LH,3.7,Raj Seeram,3,#NAME?,2016-04-04T13:54:41.955Z
Shell 11 Colney Hatch Ln Muswell Hill London N10 1QB,3.3,Armie D Valentine,1,24 hours my ass. Its not open now and its not even midnight!,2016-04-04T22:46:23.252Z
Shell Recharge Charging Station 923-931 Fulham Rd. London SW6 5HY,3.9,Guerman Cope,4,Good accessible petrol station.,2016-04-06T09:13:08.547Z
Shell 529 Yeading Ln Northolt UB5 6LW,3.4,Krupal Vaja,4,Provides what you need.,2016-04-06T11:51:29.814Z
Shell A402 104-105 Bayswater Rd London W2 3HJ,2.7,Shifa Begum,1,This pum have all ways out off order toilet & when we go for top up we like to use toilet but only this branch have issue,2016-04-08T11:25:52.207Z
Shell Empire Way Wembley Park Wembley HA9 0EW,3.4,Adam Rob,1,"My credit card was cloned here in Feb 16. V power is great, its a shame some of the staff aren't",2016-04-11T15:21:44.185Z
Shell 49 Tadema Rd London SW10 0NY,4.3,T K,4,Good petrol station. No Car Wash -- after refurbishment and bit pricey.,2016-04-12T15:44:07.361Z
Shell 139-149 Whitechapel Rd London E1 1DT,3.3,Nizamuddin Girach,3,Like all shells - expensive,2016-04-14T12:38:37.849Z
Shell 403-405 Twickenham Rd Isleworth TW7 7ES,3.8,Barry Reed,5,Good service,2016-04-14T23:47:45.752Z
Shell 609 Kenton Rd Harrow HA3 9RW,3,Vasile Bandas,5,Good quality products,2016-04-16T20:37:01.854Z
Shell 262 York Rd London SW18 1TP,3.5,Omer Moghraby,3,Petrol is petrol,2016-04-17T00:13:37.002Z
Shell 369 A406 Neasden London NW10 0LH,3.7,TURKI Aljrees,5,Good staff,2016-04-20T19:41:50.701Z
Shell A402 104-105 Bayswater Rd London W2 3HJ,2.7,Shah Zulmizan,4,The only pump station at bayswater road,2016-04-22T22:35:55.582Z
Shell 29-31 Hanger Ln London W5 3HJ,3.4,Anup Gohil,4,Great location. Can often get busy during rush hour.,2016-04-23T16:23:17.566Z
Shell 289 Merton Rd London SW18 5JS,3.4,David Coles,3,Free cash and fuel.,2016-04-26T10:01:22.240Z
Shell A402 104-105 Bayswater Rd London W2 3HJ,2.7,Barkaat Shah,1,"Waitrose closed at 930pm, went to the window and they werent serving anything other that petrol, what a dissappointment please change!",2016-04-26T19:32:12.925Z
Shell 75 Balham Hill London SW12 9DP,3.2,Declan Kerr,3,"Only OK because frequently, nay - always, the shell bar code / pay pal app NEVER works here for me. It should be simple to pay using your phone but nope, it is not. Sort the technology out please.",2016-05-05T19:37:52.935Z
Shell 609 Kenton Rd Harrow HA3 9RW,3,Amish Zinzuwadia,2,Turns out this Shell is not recognised by Santander so you won't get 3% cash-back filling up here on your 123 Card.,2016-05-06T16:50:09.753Z
Shell 383 Edgware Rd London NW2 6LD,3.6,Ean Benson,5,Always use shell,2016-05-09T19:37:40.438Z
Shell 198-208 Old St London EC1V 9BP,3.5,serdar,5,Great service,2016-05-10T07:36:06.893Z
Shell 85 London Rd Slough SL3 7RS,4.1,Barkaat Shah,5,Great prices with costa available and fresh bakery products,2016-05-10T07:57:27.349Z
Shell Park Royal Royale Leisure Park Dukes Rd London W3 0BX,3.6,Barkaat Shah,5,Great location with cheaper prices than across the road,2016-05-10T08:17:18.374Z
Shell 445-453 Wick Ln Bow London E3 2TB,3.3,Michelle K,3,"It's ok, has the basics",2016-05-11T21:54:37.138Z
Shell 409 Kilburn High Rd London NW6 7QE,3.2,Carlos Eduardo Rodriguez,5,very good,2016-05-12T06:22:05.977Z
Shell 104-116 Holloway Rd London N7 8JE,3.7,Darren Bower,5,great petrol,2016-05-13T17:08:03.008Z
Shell 403-405 Twickenham Rd Isleworth TW7 7ES,3.8,Umar Ashraf,3,They have petrol and diesel.,2016-05-14T08:09:57.090Z
Shell 128-136 Beckenham Rd Beckenham BR3 4RH,3.8,Ramakrishna Goud Peeta,3,Find it expensive compared to the rest,2016-05-14T13:03:58.468Z
Shell 222-224 Fulham Palace Rd London W6 9NT,2.9,Damian Nowatkowski,3,Piękne Rowery w okolicy,2016-05-15T02:49:58.211Z
Shell 445-453 Wick Ln Bow London E3 2TB,3.3,Wizzy Young,5,Long Lasting Fuel Ever 👍🏼👍🏼,2016-05-15T13:25:47.139Z
Shell London Rd Virginia Water GU25 4QF,3.1,Den Potipa,5,friendly staff and nice coffee),2016-05-16T14:17:31.057Z
Shell 101-103 Southwark Bridge Rd London SE1 1ES,3.6,Michael Hudson,5,Hospitality is welcoming,2016-05-17T15:23:59.631Z
Shell 49 Tadema Rd London SW10 0NY,4.3,amini Maniraguha,5,Best petrol station in wolrd,2016-05-17T16:27:10.864Z
Shell 11 Colney Hatch Ln Muswell Hill London N10 1QB,3.3,Chris New,4,You can get fuel here,2016-05-21T09:05:53.189Z
Shell 6 Church Rd London W7 1DH,3.2,Amr Helweh,5,Nice station with everything you need. ATM too,2016-05-22T23:29:44.004Z
Shell 290 Willesden Ln London NW2 5HS,3.6,Faisal Zia,5,cheapest petrol on m25!,2016-05-23T15:48:00.040Z
Shell 85 London Rd Slough SL3 7RS,4.1,Faisal Zia,5,nice chocolate bar selection ;),2016-05-23T15:58:02.557Z
Shell 276 Upper St London N1 2TZ,3.7,James,4,Petrol station that sells petrol at an all right price. What more is there to say? The guy behind the counter was v nice.,2016-05-24T07:27:10.121Z
Shell 445-453 Wick Ln Bow London E3 2TB,3.3,Katy John,4,"good fuel, bit expensive",2016-05-26T10:23:35.098Z
Shell 106 Old Brompton Rd South Kensington London SW7 3RA,3.4,Mustafa Aydogdu,1,there is a no diesel..,2016-05-28T12:45:17.747Z
Shell 22-24 Lower Richmond Rd. Richmond TW9 4LH,3.4,Chris Strathie,5,Super car wash £5,2016-05-28T16:02:54.226Z
Shell 383 Edgware Rd London NW2 6LD,3.6,Reece Judge,5,Great Garage - top service,2016-05-30T00:18:07.061Z
Shell 403-405 Twickenham Rd Isleworth TW7 7ES,3.8,Ben Rivlin,3,Car wash want fully working.,2016-05-30T23:03:07.388Z
Shell 139-149 Whitechapel Rd London E1 1DT,3.3,Deny M,5,"Well located, has jet wash",2016-06-04T23:29:12.015Z
Shell 445-453 Wick Ln Bow London E3 2TB,3.3,Andi Gorani,5,"My local garage, fuel is reasonable.",2016-06-05T00:41:59.533Z
